Country,Type,Disasters,Killed,Injured,Affected,Homeless,Total affected
Lesotho,Drought,1,0,0,725515,0,725515
Libyan Arab Jamah,Water,1,55,0,0,0,0
Lithuania,Cold wave,2,30,0,0,0,0
Macedonia FRY,Cold wave,1,1,0,5100,0,5100
Madagascar,Tropical cyclone,3,112,299,335300,0,335599
Malawi,Drought,1,0,0,1900000,0,1900000
Malawi,General Flood,3,4,0,117085,0,117085
Malawi,Tropical cyclone,1,0,0,6000,0,6000
Malawi,Water,1,47,0,0,0,0
Mali,Drought,1,0,0,3500000,0,3500000
Mauritania,Drought,1,0,0,700000,0,700000
Mayotte,Water,1,33,0,0,0,0
Mexico,Tropical cyclone,2,19,0,87000,0,87000
Moldova Rep,Cold wave,1,10,0,7374,0,7374
Moldova Rep,Drought,1,0,0,5800,0,5800
Montenegro,Cold wave,1,1,0,4500,0,4500
Morocco,Cold wave,1,0,0,7500,0,7500
Mozambique,Tropical cyclone,3,33,13,109945,0,109958
Myanmar,General Flood,1,2,0,85000,0,85000
Namibia,General Flood,1,0,0,650,0,650
Nepal,Avalanche,1,14,0,0,0,0
Nepal,Cold wave,1,0,0,25000,0,25000
Nepal,General Flood,1,72,5,0,0,5
Netherlands,Cold wave,1,1,0,0,0,0
Netherlands,Water,1,11,0,0,0,0
New Zealand,Local storm,1,3,7,450,0,457
Nicaragua,General Flood,1,9,0,29500,0,29500
Niger,Drought,1,0,0,3000000,0,3000000
Niger,General Flood,1,91,0,530952,0,530952
Nigeria,Collapse,1,22,31,0,0,31
Nigeria,General Flood,1,363,867,7000000,0,7000867
Nigeria,Local storm,1,15,0,15000,0,15000
Pakistan,Avalanche,1,135,0,0,0,0
Pakistan,Collapse,1,29,13,0,0,13
Pakistan,Flash Flood,1,12,0,0,0,0
Pakistan,General Flood,2,506,2902,5047662,0,5050564
Pakistan,Landslide,1,18,0,0,0,0
Palestine (West Bank),General Flood,1,0,0,1500,0,1500
Panama,General Flood,2,6,32,9416,0,9448
Papua New Guinea,General Flood,1,5,0,200000,0,200000
Papua New Guinea,Landslide,1,60,0,0,0,0
Papua New Guinea,Water,1,246,0,0,0,0
Paraguay,Drought,1,0,0,1391900,0,1391900
Paraguay,General Flood,1,0,0,78945,0,78945
Paraguay,Local storm,1,5,100,25000,0,25100
Peru,Cold wave,1,252,0,30113,0,30113
Peru,General Flood,3,79,136,1069838,50000,1119974
Peru,Landslide,1,22,0,0,0,0
Philippines,Flash Flood,2,1,0,13000,0,13000
Philippines,General Flood,6,156,16,4565850,35762,4601628
Philippines,Landslide,1,75,16,7,0,23
Philippines,Tropical cyclone,9,2039,2724,7557756,0,7560480
Philippines,Water,1,24,0,0,0,0
Poland,Cold wave,3,197,0,0,0,0
Poland,Local storm,1,1,10,300,0,310
Puerto Rico,Tropical cyclone,1,0,0,0,0,0
Romania,Cold wave,1,86,239,7300,0,7539
Russia,Cold wave,2,234,1594,0,0,1594
Russia,Drought,1,0,0,0,0,0
Russia,Flash Flood,1,172,3910,22000,5500,31410
Russia,General Flood,3,7,0,15397,0,15397
Russia,Water,1,11,0,0,0,0
Rwanda,General Flood,1,5,0,11160,0,11160
Samoa,Tropical cyclone,1,12,0,12703,0,12703
Saudi Arabia,General Flood,1,19,0,0,0,0
Senegal,Drought,1,0,0,850000,0,850000
Senegal,General Flood,1,19,0,57000,0,57000
Serbia,Cold wave,2,16,0,70000,0,70000
Serbia,Extreme winter conditions,1,9,0,18234,0,18234
Slovakia,Cold wave,1,5,0,0,0,0
Slovenia,General Flood,1,0,0,12000,0,12000
Solomon Is,Flash Flood,1,0,0,4836,0,4836
Somalia,Drought,1,0,0,3000000,0,3000000
Somalia,General Flood,2,31,0,12200,20000,32200
Somalia,Water,1,55,0,5,0,5
South Africa,Collapse,2,23,0,0,0,0
South Africa,General Flood,1,13,0,125000,0,125000
South Africa,Tropical cyclone,1,0,0,1350,0,1350
South Sudan,General Flood,2,47,0,157000,0,157000
Spain,--,1,4,6,0,0,6
Spain,General Flood,1,10,35,600,0,635
Sri Lanka,Drought,1,0,0,1800000,0,1800000
Sri Lanka,General Flood,1,53,21,447000,0,447021
Sri Lanka,Tropical cyclone,1,0,0,0,69000,69000
Sudan,Drought,1,0,0,3200000,0,3200000
Sudan,General Flood,1,35,135,135000,0,135135
Sudan,Other,1,0,200,0,0,200
Switzerland,Cold wave,2,11,0,0,0,0
Taiwan (China),General Flood,1,6,0,35000,0,35000
Taiwan (China),Tropical cyclone,2,14,0,0,0,0
Tajikistan,Extreme winter conditions,1,1,0,0,0,0
Tajikistan,General Flood,1,0,0,5556,0,5556
Tanzania Uni Rep,Drought,1,0,0,1000000,0,1000000
Tanzania Uni Rep,General Flood,1,10,0,0,0,0
Tanzania Uni Rep,Water,1,144,0,140,0,140
Thailand,General Flood,2,813,0,9735545,0,9735545
Turkey,General Flood,1,13,0,0,0,0
Turkey,Other,1,10,0,0,0,0
Turkey,Water,3,135,0,45,0,45
Uganda,General Flood,1,0,0,15000,0,15000
Uganda,Landslide,1,18,64,0,3368,3432
Ukraine,Cold wave,2,195,3026,85000,0,88026
Ukraine,Drought,1,0,0,0,0,0
United Kingdom,Flash Flood,1,1,0,0,0,0
United Kingdom,General Flood,4,7,0,3785,0,3785
United States,--,2,3,0,1809,1038,2847
